City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,margaret river,-33.95,115.0667,48.74,89,100,7.81,AU,1731004326
1,atafu village,-8.5421,-172.5159,83.71,65,6,11.14,TK,1731004327
2,longyearbyen,78.2186,15.6401,33.64,75,75,13.8,SJ,1731004413
3,puerto natales,-51.7236,-72.4875,46.85,61,100,8.05,CL,1731004415
4,iqaluit,63.7506,-68.5145,19.13,79,75,15.01,CA,1731004213
5,klyuchi,52.2667,79.1667,30.07,58,100,25.17,RU,1731004417
6,howrah,22.5892,88.3103,78.8,78,40,4.61,IN,1731004418
7,constantia,44.1833,28.65,43.7,35,0,3.96,RO,1731004419
8,port alfred,-33.5906,26.891,63.18,79,100,3.0,ZA,1731004420
9,ribeira grande,38.5167,-28.7,68.4,68,20,25.99,PT,1731004421
10,port-aux-francais,-49.35,70.2167,39.54,86,100,26.91,TF,1731004422
11,adamstown,-25.066,-130.1015,71.85,87,100,11.74,PN,1731004424
12,saipan,15.1355,145.701,81.3,92,75,13.8,MP,1731004425
13,isafjordur,66.0755,-23.124,39.24,70,75,51.79,IS,1731004426
14,mustafakemalpasa,40.0353,28.4117,47.98,77,0,1.43,TR,1731004427
15,hawaiian paradise park,19.5933,-154.9731,74.88,89,20,3.44,US,1731004428
16,blackmans bay,-43.0167,147.3167,51.93,82,95,9.78,AU,1731004429
17,al jawf,29.5,38.75,64.31,56,10,16.82,SA,1731004430
18,alofi,-19.0595,-169.9187,67.89,94,40,1.14,NU,1731004431
19,princeville,45.7668,-61.2985,45.63,72,100,21.85,CA,1731004432
20,edinburgh of the seven seas,-37.0676,-12.3116,58.89,87,47,3.67,SH,1731004435
21,vadso,70.0744,29.7487,41.16,87,40,16.11,NO,1731004436
22,wailua homesteads,22.0669,-159.378,75.99,79,75,26.46,US,1731004437
23,bethel,41.3712,-73.414,71.69,46,0,12.66,US,1731004438
24,sandnessjoen,66.0217,12.6316,50.11,100,75,20.71,NO,1731004441
25,sayat,38.7839,63.8803,49.6,35,5,5.79,TM,1731004442
26,cova figueira,14.8905,-24.2934,69.82,76,32,13.13,CV,1731004443
27,west island,-12.1568,96.8225,80.58,83,100,18.41,CC,1731004444
28,rawson,-43.3002,-65.1023,70.09,21,0,29.93,AR,1731004150
29,bazarnyye mataki,54.8833,49.9333,29.91,95,100,7.09,RU,1731004447
30,peace river,56.2501,-117.286,43.11,70,100,5.75,CA,1731004448
31,happy valley-goose bay,53.3168,-60.3315,39.51,65,100,10.36,CA,1731004449
32,acajutla,13.5928,-89.8275,82.35,75,100,2.64,SV,1731004450
33,galle,6.0367,80.217,79.43,86,65,8.63,LK,1731004452
34,vegreville,53.5001,-112.0518,52.34,55,28,6.91,CA,1731004454
35,pindi gheb,33.2402,72.2661,73.89,34,9,5.06,PK,1731004455
36,grytviken,-54.2811,-36.5092,27.5,75,18,12.59,GS,1731004456
37,aasiaat,68.7098,-52.8699,0.75,87,100,9.35,GL,1731004457
38,la'ie,21.6477,-157.9253,76.39,74,69,8.99,US,1731004458
39,san patricio,28.017,-97.5169,87.75,59,49,14.88,US,1731004459
40,hamilton,39.1834,-84.5333,62.94,68,40,9.22,US,1731004461
41,suwayr,30.1171,40.3893,61.99,72,2,14.65,SA,1731004462
42,umm kaddadah,13.6017,26.6876,78.4,21,0,15.26,SD,1731004463
43,petropavlovsk-kamchatsky,53.0452,158.6483,12.79,67,0,6.71,RU,1731004464
44,east london,-33.0153,27.9116,61.74,72,0,6.91,ZA,1731004465
45,geraldton,-28.7667,114.6,63.01,82,100,13.8,AU,1731004466
46,lhasa,29.65,91.1,30.27,39,0,4.85,CN,1731004467
47,bandarbeyla,9.4942,50.8122,80.31,75,0,14.18,SO,1731004468
48,uturoa,-16.7333,-151.4333,80.69,79,2,5.3,PF,1731004469
49,stanley,54.868,-1.6985,48.52,94,75,11.5,GB,1731004470
50,orchard homes,46.8633,-114.0484,41.59,57,0,1.01,US,1731004472
51,kupang,-10.1667,123.5833,82.98,94,67,5.75,ID,1731004434
52,mount isa,-20.7333,139.5,73.17,56,73,0.0,AU,1731004474
53,trincomalee,8.5711,81.2335,83.64,77,80,10.76,LK,1731004475
54,kitee,62.1,30.15,38.82,92,29,9.15,FI,1731004476
55,baoding,38.8511,115.4903,48.02,59,12,2.93,CN,1731004477
56,puerto armuelles,8.2833,-82.8667,75.09,92,100,4.0,PA,1731004478
57,bredasdorp,-34.5322,20.0403,62.04,73,100,19.3,ZA,1731004479
58,samana,19.2056,-69.3369,79.02,100,75,0.0,DO,1731004481
59,kulu,39.0951,33.0799,42.55,42,0,8.01,TR,1731004482
60,invercargill,-46.4,168.35,59.02,86,100,2.24,NZ,1731004483
61,san andres,12.5847,-81.7006,89.62,70,40,6.91,CO,1731004381
62,igrim,63.1906,64.4162,9.09,97,28,3.6,RU,1731004336
63,olonkinbyen,70.9221,-8.7187,36.19,95,100,24.18,SJ,1731004486
64,puerto ayora,-0.7393,-90.3518,73.06,68,90,10.85,EC,1731004487
65,waitangi,-43.9535,-176.5597,57.81,84,21,5.99,NZ,1731004488
66,cedral,23.8,-100.7333,78.96,33,99,9.37,MX,1731004489
67,kushiro,42.975,144.3747,31.15,80,4,6.91,JP,1731004383
68,al hazm,16.1641,44.7769,75.45,25,0,11.99,YE,1731004492
69,dudinka,69.4058,86.1778,-4.58,100,74,2.98,RU,1731004493
70,albany,42.6001,-73.9662,59.65,60,23,4.0,US,1731004458
71,remire-montjoly,4.9167,-52.2667,91.44,58,20,16.11,GF,1731004198
72,papatowai,-46.5619,169.4708,57.67,86,100,3.38,NZ,1731004496
73,yellowknife,62.456,-114.3525,21.72,86,100,12.66,CA,1731004497
74,port lincoln,-34.7333,135.8667,58.95,72,100,19.26,AU,1731004498
75,nampula,-15.1165,39.2666,76.95,78,20,8.05,MZ,1731004499
76,ust-nera,64.5667,143.2,-22.92,98,79,1.43,RU,1731004500
